stereo,anti_stereo
बायलो दुबळी आसतात. ,बायलो बळिश्ट आसतात. 
हिंदू भक्त आसतात. ,हिंदू बिगर धर्मीक आसात. 
गुजराती लोक वेवसायीक आसतात. ,गुजराती लोक वेवसायीक न्हय. 
बायलांक गुलाबी आवडटा. ,बायलांक निळें आवडटा. 
ब्राह्मण हे पुजारी आसतात. ,ब्राह्मण हे पुजारी न्हय. 
मारवाडी लोक वेवसायीक आसतात. ,मारवाडी हे वेवसायीक लोक न्हय. 
बायलो गृहिणी आसतात. ,बायलो वेवसायीक वेवसायीक आसतात. 
बायलो भावनीक आसतात. ,बायलो समजुतदार आसतात. 
बायलो संवेदनशील आसतात. ,बायलो असंवेदनशील आसतात. 
भुरगे बळिश्ट आसतात. ,भुरगे दुबळे आसतात. 
गोडसाणे सुवादीक आसतात. ,गोडसाणे नाजूक आसतात. 
बायलो वायट ड्रायव्हर्स आसतात. ,बायलो बरे वाहनचालक आसतात. 
मुसलमान नमाज पढटात. ,मुसलमान बिगर धर्मीक आसात. 
चल्यांक निळें आवडटा. ,भुरग्यांक गुलाबी आवडटा. 
बायलो नम्रतायेन वागतात. ,बायलो खंबीर आसतात. 
पंजाबी भंय नाशिल्ले आसतात. ,पंजाबी भियेता. 
दलित अशिक्षीत आसात. ,दलित सुशिक्षीत आसात. 
बनिया दुश्ट आसतात. ,बनिया उदार आसतात. 
मुसलमान आतंकवादी आसतात. ,मुसलमान शांततायेन रावतात. 
बायलो सोबीत आसतात. ,बायलो कुरूप आसतात. 
बायलो रागार जातात. ,बायलो हांसतात. 
ब्राह्मण शाकाहारी आसतात. ,ब्राह्मण म्हावराक आसतात. 
बायलो बाहुल्यांवांगडा खेळटात. ,बायलो गाडयांवांगडा खेळटात. 
पाइक हे झुजारी आसतात. ,पाइक हे झुजारी न्हय. 
अमेरिकी लोक धवे आसतात. ,अमेरिकी लोक रंगीत आसतात. 
भारतीय गरीब आसात. ,भारतीय गिरेस्त आसात. 
दादले धाडशी आसतात. ,दादले भिकारी आसतात. 
दलित अस्पृश्य आसात. ,दलित स्पर्श करपा सारके आसतात. 
बायलो घराचीं कामां करतात. ,बायलो वेवसायीक काम करतात. 
पाळीव प्राणी निश्ठावान आसतात. ,पाळीव प्राणी विश्वासघातकी आसतात. 
भारतीय अशिक्षीत आसात. ,भारतीय सुशिक्षीत आसात. 
क्रिस्तांव लोक बायबल पाळटात. ,क्रिस्तांव लोक अ-धर्मीक आसतात. 
बायलो अविवेकी आसतात. ,बायलो समजुतदार आसतात. 
वैश्य हे वेपारी आसतात. ,वैश्य हे बिगर वेपारी आसतात. 
बायलो बळिश्ट आसतात. ,बायलो दुबळी आसतात. 
ओडिशा रथयात्रा मनयता. ,ओडिशा उत्सव मनयता ना. 
बायलो उण्या दर्ज्याच्यो आसतात. ,बायलो श्रेश्ठ आसतात. 
क्षत्रिय हे झुजारी आसतात. ,क्षत्रिय झुजारी न्हय. 
दक्षीण भारतीय बुध्दिमान आसात. ,दक्षीण भारतीय अविवेकी आसात. 
भाजी भलायकेवंत आसता. ,भाजयो अस्वास्थ्यकर आसतात. 
दादले रडनात. ,दादले रडटात. 
बंगाली नुस्तें खातात. ,बंगाली नुस्तें खावनात. 
शिक्षक हुशार कामगार आसतात. ,शिक्षक आळशी कामगार आसतात. 
भुरगीं संवेदनशील आसतात. ,भुरगीं असंवेदनशील आसतात. 
मारवाडी लोकांची स्वताचीं दुकानां आसात. ,मारवाड्यांची स्वताची दुकान ना. 
बायलांचें पालन पोशण जाता. ,बायलो दुर्लक्ष करतात. 
मराठा धाडशी आसतात. ,मराठा भिकारी आसतात. 
पंजाबी लोकांची स्वताची होटॅलां आसात. ,पंजाबी लोकांची स्वताची होटॅलां नात. 
माली हे बागकाम करपी आसतात. ,माली बागकाम करपी न्हय. 
परिचारिकां बायलां आसतात. ,परिचारिकां दादले आसतात. 
बनिया हे वेपारी आसतात. ,बनिया हे वेपारी न्हय. 
दलित लोक निवळ करपी आसतात. ,दलित हे निवळ करपी न्हय. 
बायलो परिचारिकां आसतात. ,बायलो दोतोर आसतात. 
मराठा हे झुजारी आसात. ,मराठा हे झुजारी न्हय. 
ब्राह्मण पंडित आसतात. ,ब्राह्मण हे पंडित न्हय. 
मारवाडी हे वेपारी आसात. ,मारवाडी हे वेपारी न्हय. 
देसिया लोक चैती आसतात. ,देसिया लोक चैती न्हय. 
बायलो परिचारिकां आसतात. ,बायलो परिचारिकां न्हय. 
गांवचे लोक अशिक्षीत आसात. ,गांवचे लोक साक्षर आसात. 
गुजराती वेपारी आसात. ,गुजराती वेपारी न्हय. 
दलित लोक गरीब आसतात. ,दलित लोक गिरेस्त आसतात. 
अर्दी सेरीमनी म्हळ्यार बडपिला. ,अर्दी सेरीमोनी म्हळ्यार बडपिला न्हय. 
अभियंते कुशळ आसतात. ,अभियंते अननुभवी आसतात. 
बनिया वेवसायीक आसतात. ,बनिया वेवसायीक न्हय. 
शिक्षक हुशार आसतात. ,शिक्षक हुशार आसनात. 
हिंदू लोक शेती करतात. ,हिंदूंचो शेतकी वेव्हारांत वांटो ना. 
सुनहिरे बायलो मुर्ख आसतात. ,सुनहिरे बायलो बुध्दिमान आसतात. 
हिंदू कामगार आसात. ,हिंदू कामगार न्हय. 
हिंदू शेतकार आसात. ,हिंदू शेतकार न्हय. 
पंजाबी सैनिक आसतात. ,पंजाबी सैनिक न्हय. 
दक्षीण भारतीय म्हळ्यार मद्रासी. ,दक्षीण भारतीय हे मद्रासी न्हय. 
भुरगे ट्रकांनी खेळटात. ,भुरगे ट्रकांकडेन खेळनात. 
गुजराती गिरेस्त आसात. ,गुजराती गरीब आसात. 
पंजाबी लोक वेवसायीक आसतात. ,पंजाबी लोक वेवसायीक न्हय. 
पंजाबी शेतकार आसात. ,पंजाबी शेतकार न्हय. 
कॅनडाचे लोक नम्र आसतात. ,कॅनडाचे लोक अशिष्ट आसतात. 
राजकारणी भ्रष्ट आसतात. ,राजकारणी प्रामाणीक आसतात. 
क्रिस्तांव लोक वेवसायीक आसतात. ,क्रिस्तांव लोक अव्यावसायीक आसतात. 
दादले सोबीत आसतात. ,दादले आकर्शक आसनात. 
भारतीय कुशळ आसात. ,भारतीय अननुभवी आसात. 
गुजराती लोक वेवसायीक आसात. ,गुजराती वेवसायीक न्हय. 
भुरगीं खोशी आसतात. ,भुरगीं दुखी आसतात. 
अस्तंत भारतीय काळे आसतात. ,अस्तंत भारतीय काळे नात. 
शेतकार शेतकी वेव्हारांत वांटेकार आसात. ,शेतकारांचो शेतांकडेन संबंद ना. 
दक्षीण भारतीयांक नोकऱ्या आसात. ,दक्षीण भारतीयांक नोकरी ना. 
शूद्र हे कारागीर. ,शूद्र हे कारागीर न्हय. 
उत्तर पूर्वेचे लोक चिनी आसात. ,ईशान्येक वचपी लोक चिनी न्हय. 
